sample ID,sample,rep,base name,spectrum #,spectrum_id,treatment,functional group,cover type,species,site,notes
HB-16,16,5,EMIT_SPEC,810,EMIT_SPEC00810,wet,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-17,17,1,EMIT_SPEC,811,EMIT_SPEC00811,dry,non-nitrogen fixing lichen,L,Placidium sp.,HorseThief,Check spectra to make sure that this is placidium. Check 16 and 18 as well
HB-17,17,2,EMIT_SPEC,812,EMIT_SPEC00812,dry,non-nitrogen fixing lichen,L,Placidium sp.,HorseThief,
HB-17,17,3,EMIT_SPEC,813,EMIT_SPEC00813,dry,non-nitrogen fixing lichen,L,Placidium sp.,HorseThief,
HB-17,17,4,EMIT_SPEC,814,EMIT_SPEC00814,dry,non-nitrogen fixing lichen,L,Placidium sp.,HorseThief,
HB-17,17,5,EMIT_SPEC,815,EMIT_SPEC00815,dry,non-nitrogen fixing lichen,L,Placidium sp.,HorseThief,
HB-17,17,1,EMIT_SPEC,816,EMIT_SPEC00816,wet,non-nitrogen fixing lichen,L,Placidium sp.,HorseThief,
HB-17,17,2,EMIT_SPEC,817,EMIT_SPEC00817,wet,non-nitrogen fixing lichen,L,Placidium sp.,HorseThief,
HB-17,17,3,EMIT_SPEC,818,EMIT_SPEC00818,wet,non-nitrogen fixing lichen,L,Placidium sp.,HorseThief,
HB-17,17,4,EMIT_SPEC,819,EMIT_SPEC00819,wet,non-nitrogen fixing lichen,L,Placidium sp.,HorseThief,
HB-17,17,5,EMIT_SPEC,820,EMIT_SPEC00820,wet,non-nitrogen fixing lichen,L,Placidium sp.,HorseThief,
HB-18,18,1,EMIT_SPEC,821,EMIT_SPEC00821,dry,moss,M,Syntrichia caninervis,HorseThief,
HB-18,18,2,EMIT_SPEC,822,EMIT_SPEC00822,dry,moss,M,Syntrichia caninervis,HorseThief,
HB-18,18,3,EMIT_SPEC,823,EMIT_SPEC00823,dry,moss,M,Syntrichia caninervis,HorseThief,
HB-18,18,4,EMIT_SPEC,824,EMIT_SPEC00824,dry,moss,M,Syntrichia caninervis,HorseThief,
HB-18,18,5,EMIT_SPEC,825,EMIT_SPEC00825,dry,moss,M,Syntrichia caninervis,HorseThief,
HB-18,18,1,EMIT_SPEC,826,EMIT_SPEC00826,wet,moss,M,Syntrichia caninervis,HorseThief,
HB-18,18,2,EMIT_SPEC,827,EMIT_SPEC00827,wet,moss,M,Syntrichia caninervis,HorseThief,
HB-18,18,3,EMIT_SPEC,828,EMIT_SPEC00828,wet,moss,M,Syntrichia caninervis,HorseThief,
HB-18,18,4,EMIT_SPEC,829,EMIT_SPEC00829,wet,moss,M,Syntrichia caninervis,HorseThief,
HB-18,18,5,EMIT_SPEC,830,EMIT_SPEC00830,wet,moss,M,Syntrichia caninervis,HorseThief,
HB-19,19,1,EMIT_SPEC,831,EMIT_SPEC00831,dry,moss,M,Syntrichia caninervis,HorseThief,
HB-19,19,2,EMIT_SPEC,832,EMIT_SPEC00832,dry,moss,M,Syntrichia caninervis,HorseThief,
HB-19,19,3,EMIT_SPEC,833,EMIT_SPEC00833,dry,moss,M,Syntrichia caninervis,HorseThief,
HB-19,19,4,EMIT_SPEC,834,EMIT_SPEC00834,dry,moss,M,Syntrichia caninervis,HorseThief,
HB-19,19,5,EMIT_SPEC,835,EMIT_SPEC00835,dry,moss,M,Syntrichia caninervis,HorseThief,
HB-19,19,1,EMIT_SPEC,836,EMIT_SPEC00836,wet,moss,M,Syntrichia caninervis,HorseThief,
HB-19,19,2,EMIT_SPEC,837,EMIT_SPEC00837,wet,moss,M,Syntrichia caninervis,HorseThief,
HB-19,19,3,EMIT_SPEC,838,EMIT_SPEC00838,wet,moss,M,Syntrichia caninervis,HorseThief,
HB-19,19,4,EMIT_SPEC,839,EMIT_SPEC00839,wet,moss,M,Syntrichia caninervis,HorseThief,
HB-19,19,5,EMIT_SPEC,840,EMIT_SPEC00840,wet,moss,M,Syntrichia caninervis,HorseThief,
HB-20,20,1,EMIT_SPEC,841,EMIT_SPEC00841,dry,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-20,20,2,EMIT_SPEC,842,EMIT_SPEC00842,dry,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-20,20,3,EMIT_SPEC,843,EMIT_SPEC00843,dry,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-20,20,4,EMIT_SPEC,844,EMIT_SPEC00844,dry,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
